Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
C1,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,161.0500mm,-114.3000mm,,,,,top,0,10nf
C2,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.5890mm,-107.3150mm,,,,,top,90,27pF
C3,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.5890mm,-112.3950mm,,,,,top,270,27pF
C4,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.5166mm,-101.6000mm,,,,,top,270,0.1u
C5,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,145.2248mm,-112.3950mm,,,,,top,180,0.1u
C6,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,157.4800mm,-108.1140mm,,,,,top,270,0.1u
C7,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,137.3858mm,-101.6000mm,,,,,top,270,0.1u
C8,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.5166mm,-96.7775mm,,,,,top,90,0.1u
C9,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,145.2248mm,-110.1125mm,,,,,top,180,4.7u
C10,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,160.0200mm,-108.1140mm,,,,,top,270,4.7u
C11,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.6475mm,-101.6000mm,,,,,top,270,0.1u
C12,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.6475mm,-96.7775mm,,,,,top,90,0.1u
C13,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.6017mm,-93.7600mm,,,,,top,180,10n
C14,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,121.9327mm,-103.3725mm,,,,,top,270,4.7u
C15,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,119.3927mm,-103.3725mm,,,,,top,270,100n
C16,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,135.2550mm,-101.6000mm,,,,,top,270,100n
C17,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,147.2642mm,-68.5800mm,,,,,top,180,0.1u
C18,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,133.9850mm,-73.0250mm,,,,,top,0,0.1u
C19,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,133.9850mm,-75.5650mm,,,,,top,0,0.1u
C20,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,142.8750mm,-68.1450mm,,,,,top,90,0.1u
C21,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.3350mm,-68.1450mm,,,,,top,90,0.1u
